"","lon","lat"
"1",-112.0712006,33.4457369
"2",-97.3320351,37.6833635
"3",-95.996416,36.152766
"5",-87.6741759,41.8806908
"6",-93.101097,44.9448315
"8",-94.5799392,39.0972997
"9",-86.1555392,39.7639878
"10",-85.6715957,42.9623826
"11",-79.3790989,43.6434661
"12",-85.7538323,38.2577834
"13",-81.6882129,41.4964797
"14",-73.9934387,40.7505045
"15",-79.9893378,40.4395932
"16",-71.062146,42.366198
"17",-75.1719795,39.9012015
"23",-94.5746176,38.9727969
"25",-96.8103549,32.7905064
"26",-105.00771,39.74866
"27",-111.9010874,40.7682681
"28",-123.1088227,49.2778358
"29",-122.353988,47.6221
"30",-122.6668423,45.5315651
"31",-122.2029607,37.7503024
"32",-119.7385011,36.809691
"33",-117.5662772,34.0728996
"34",-117.8764687,33.8078476
"35",-115.1784324,36.1028767
"36",-117.212196,32.755274
"38",-118.3419015,33.9582109
"39",115.85211,-31.948434
"41",144.9785474,-37.8216833
"42",151.0623294,-33.8424777
"43",153.0703745,-27.3422419
"44",170.5244543,-45.8695344
"45",174.7768165,-36.8471841
"46",-82.4517771,27.9427373
"47",-81.645058,30.325811
"49",-80.8392351,35.2251426
"53",-90.0820568,29.9490351
"54",-95.6795162,37.4362961
"55",-97.5151176,35.4634175
"56",-112.2616108,33.5326098
"57",-121.4996191,38.5806415
"58",-121.9012447,37.3327507
"59",-83.055043,42.3410304
"61",-96.8016549,46.9029178
"64",-83.0250631,40.00766
"66",-73.5693153,45.4960667
