% Data compiled from from mapmyrun.com,,,,,
Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters),lat,lon
0,57.41,0,0,-36.85301184,174.7680831
20.63,55.47,0,0,-36.85318354,174.7681689
48.2,54.61,0,-1.94,-36.8533209,174.7679114
116.48,53.02,0,-2.8,-36.853836,174.7683299
304.62,67.32,0,-4.39,-36.85519239,174.7670746
465.87,80.54,14.3,-4.39,-36.85623972,174.76583
732.11,76.5,27.52,-4.39,-36.85800813,174.763813
1198.22,95.54,27.52,-8.43,-36.86180234,174.7615814
1451.98,97.94,46.56,-8.43,-36.86401698,174.7608733
1571.82,92.33,48.96,-8.43,-36.86506419,174.7605515
1702.85,86.29,48.96,-14.04,-36.86600838,174.7614312
1806.16,80.42,48.96,-20.08,-36.86690106,174.7617531
1838.65,78.74,48.96,-25.95,-36.86719289,174.7617316
1944.76,77.33,48.96,-27.63,-36.86794823,174.7610021
2129.56,80.85,48.96,-29.04,-36.8694932,174.7602296
2203.98,82.09,52.48,-29.04,-36.87014552,174.7604227
2469.01,99.72,53.72,-29.04,-36.87205093,174.7622037
2544.53,104.2,71.35,-29.04,-36.87270322,174.7619677
2635.28,110.54,75.83,-29.04,-36.87350999,174.7621179
2748.23,116.5,82.17,-29.04,-36.87452274,174.7622252
2791.49,118.55,88.13,-29.04,-36.87423952,174.7625577
2863.22,128.67,90.18,-29.04,-36.87388763,174.7632229
2973.62,143.24,100.3,-29.04,-36.8734585,174.764328
3138.91,168.63,114.87,-29.04,-36.87484888,174.7649288
3197.69,167.46,140.26,-29.04,-36.875278,174.7645426
3272.24,172.27,140.26,-30.21,-36.87594743,174.7644997
3307.47,173.98,145.07,-30.21,-36.87618774,174.7642422
3336.73,176.62,146.78,-30.21,-36.87644521,174.7641778
3373.51,179.38,149.42,-30.21,-36.87674559,174.7640061
3404.02,178.1,152.18,-30.21,-36.87689149,174.7637165
3448.25,170.76,152.18,-31.49,-36.87699448,174.7632444
3468.55,172.33,152.18,-38.83,-36.87712321,174.7634053
3502.74,167.37,153.75,-38.83,-36.87742359,174.7634697
3542.07,158.96,153.75,-43.79,-36.87774113,174.7636414
3575.52,155.41,153.75,-52.2,-36.87792994,174.763931
3624.45,150.96,153.75,-55.75,-36.87805009,174.7644567
3650.36,149.08,153.75,-60.2,-36.87804151,174.7647464
3681.74,152.45,153.75,-62.08,-36.87791277,174.7650576
3701.59,157.06,157.12,-62.08,-36.87776688,174.7651756
3731.15,164.65,161.73,-62.08,-36.87753516,174.7653151
3782.58,174.69,169.32,-62.08,-36.87711463,174.7651005
3801.14,177.11,179.36,-62.08,-36.87696015,174.7650254
3818.37,175.95,181.78,-62.08,-36.87683141,174.7651327
3841.34,177.1,181.78,-63.24,-36.87662544,174.7651112
3869.76,173.23,182.93,-63.24,-36.8764023,174.7652614
3887.41,171.42,182.93,-67.11,-36.87624781,174.7653043
3919.57,170.41,182.93,-68.92,-36.8759646,174.7652292
3972.29,164.89,182.93,-69.93,-36.87551831,174.7654223
4004.41,161.52,182.93,-75.45,-36.87524367,174.7655296
4018.83,161.25,182.93,-78.82,-36.87511493,174.7655082
4048.32,156.03,182.93,-79.09,-36.87492612,174.7657335
4082.69,149.02,182.93,-84.31,-36.87475447,174.7660446
4118.61,147.02,182.93,-91.32,-36.8744455,174.7661626
4151.97,147.47,182.93,-93.32,-36.87414511,174.7661734
4183.49,145.33,183.38,-93.32,-36.87386188,174.7661626
4211.67,146.7,183.38,-95.46,-36.87363873,174.7660124
4239.42,150.22,184.75,-95.46,-36.87355291,174.7657228
4284.36,148.97,188.27,-95.46,-36.87335551,174.7652829
4351.87,142.12,188.27,-96.71,-36.87324393,174.7645426
4385.88,141.94,188.27,-103.56,-36.87343275,174.7642422
4442.9,137.55,188.27,-103.74,-36.87376747,174.7637594
4502.44,127.38,188.27,-108.13,-36.87393913,174.7631371
4562.63,119.17,188.27,-118.3,-36.8742481,174.7625899
4601.51,116.37,188.27,-126.51,-36.87446266,174.7622466
4706.63,111.04,188.27,-129.31,-36.87351858,174.7621715
4796.44,104.68,188.27,-134.64,-36.87272038,174.7620213
4872.88,100.16,188.27,-141,-36.87205951,174.7622573
4977.19,98.43,188.27,-145.52,-36.87163037,174.763298
5247.22,83.1,188.27,-147.25,-36.86935587,174.7643602
5289.7,81.32,188.27,-162.58,-36.86897821,174.7644353
5319.14,80.46,188.27,-164.36,-36.86873788,174.7642958
5439.91,78.93,188.27,-165.22,-36.86778514,174.7636414
5497.23,76.84,188.27,-166.75,-36.86727014,174.7636843
5544.77,76.63,188.27,-168.84,-36.86693539,174.7633517
5807.09,96.14,188.27,-169.05,-36.86465217,174.7640812
6029.9,94.17,207.78,-169.05,-36.86271224,174.764725
6358.58,80.72,207.78,-171.02,-36.86035164,174.7669458
6733.53,76.58,207.78,-184.47,-36.85837726,174.7635341
6777.48,77.07,207.78,-188.61,-36.85801672,174.7637379
7048.47,80.65,208.27,-188.61,-36.85621397,174.7657871
7209.72,68.41,211.85,-188.61,-36.85514947,174.7670102
7392.96,53.45,211.85,-200.85,-36.853836,174.768244
7451.42,54.49,211.85,-215.81,-36.85337241,174.7679329
7483.53,55.19,212.89,-215.81,-36.85320071,174.7682226
7505.97,57.54,213.59,-215.81,-36.85301184,174.7681367
